Parent_Selector,Survival_Selector,Final_Avg_BSF,Final_Std_BSF,Avg_Generations,Min_Best_Distance,Max_Best_Distance
fitness_proportionate,truncation,11177.378936987247,167.1789939514855,3000.0,10971.501521954895,11535.873041007773
binary_tournament,truncation,11186.692803634598,243.55682775150336,3000.0,10849.279960110121,11701.49686062741
truncation,truncation,11116.70783186067,120.64961180125195,3000.0,10948.064814870702,11323.615408736732
random,random,11158.043639607946,251.6254496238774,3000.0,10689.235659326054,11514.082852541578
rank_based,random,11155.355289253555,436.9029233028371,3000.0,10224.740417499032,11947.505502351325
